Artist,Listeners,Peak,Peak_Listeners
Jack Harlow,"30,001,305",29,"59,210,566"
Radiohead,"29,989,487",147,"30,373,078"
Tyla,"29,905,416",112,"34,775,358"
Creedence Clearwater Revival,"29,905,385",92,"38,637,577"
JHAYCO,"29,788,947",102,"33,308,450"
Young Thug,"29,670,829",97,"33,656,406"
Amitabh Bhattacharya,"29,160,529",149,"30,111,225"
Jason Derulo,"29,103,410",77,"39,368,590"
Ovy On The Drums,"29,087,666",161,"29,087,666"
Omar Courtz,"29,086,227",162,"29,086,227"
Lewis Capaldi,"29,070,739",66,"37,776,153"
Vishal-Shekhar,"28,957,015",163,"28,957,015"
Gigi Perez,"28,952,785",165,"28,952,785"
FloyyMenor,"28,875,098",66,"42,961,167"
GloRilla,"28,821,884",166,"28,821,884"
Noah Kahan,"28,744,090",86,"37,900,933"
Cardi B,"28,577,989",84,"36,282,159"
Robin Schulz,"28,552,105",76,"34,908,935"
Megan Thee Stallion,"28,415,274",108,"35,834,865"
Gorillaz,"28,395,838",54,"41,977,704"
Billy Joel,"28,347,856",132,"32,898,654"
Lost Frequencies,"28,334,488",105,"36,503,461"
Carin Leon,"28,295,966",125,"32,386,759"
DaBaby,"28,228,564",103,"32,070,946"
RAYE,"28,101,696",70,"36,484,906"
Lord Huron,"27,953,052",146,"31,623,501"
Nicky Jam,"27,785,870",128,"30,366,327"
Tanishk Bagchi,"27,723,871",165,"29,015,967"
Anne-Marie,"27,608,681",61,"41,501,481"
Nelly Furtado,"27,551,874",159,"27,551,874"
Mac Miller,"27,495,583",183,"27,495,583"
Dei V,"27,440,414",184,"27,440,414"
d4vd,"27,421,320",94,"31,836,766"
Lil Uzi Vert,"27,409,595",67,"39,580,515"
Central Cee,"27,376,335",78,"40,321,501"
Bee Gees,"27,368,210",158,"28,740,653"
Shaboozey,"27,192,152",110,"35,811,664"
Lily-Rose Depp,"27,173,196",117,"32,569,522"
Giveon,"27,103,739",145,"27,103,739"
Enrique Iglesias,"27,094,913",151,"29,585,670"
The Killers,"27,061,899",178,"28,483,994"
Whitney Houston,"27,038,029",135,"35,060,772"
Alan Walker,"27,010,093",100,"33,218,914"
Udit Narayan,"27,003,649",183,"27,457,133"
The Rolling Stones,"26,709,769",138,"29,911,374"
Steve Lacy,"26,678,028",111,"31,029,345"
Christina Aguilera,"26,591,526",143,"34,034,008"
Meghan Trainor,"26,574,461",69,"41,619,008"
Major Lazer,"26,512,969",132,"31,365,666"
Metallica,"26,400,488",144,"27,227,046"
Chencho Corleone,"26,197,983",106,"31,161,386"
Zach Bryan,"26,125,660",119,"34,463,168"
ZAYN,"26,112,800",160,"28,851,598"
Demi Lovato,"25,917,738",98,"33,320,815"
Blessd,"25,842,316",207,"26,439,074"
Tame Impala,"25,827,177",162,"28,367,463"
Trippie Redd,"25,754,675",137,"31,720,053"
Mitski,"25,667,520",71,"39,387,536"
Oscar Maydon,"25,634,540",174,"28,881,483"
Arcane,"25,564,984",212,"27,212,029"
beabadoobee,"25,535,267",213,"25,535,267"
Quevedo,"25,530,573",71,"38,182,790"
Kodak Black,"25,514,402",99,"33,708,388"
BTS,"25,495,988",63,"40,741,916"
Junior H,"25,490,906",141,"28,903,235"
KK,"25,465,963",218,"25,465,963"
Danny Ocean,"25,407,458",219,"25,407,458"
Artemas,"25,354,248",43,"53,546,898"
Alok,"25,331,487",123,"33,578,843"
Conan Gray,"25,285,566",167,"28,549,479"
Clean Bandit,"25,180,376",167,"29,350,485"
Jennifer Lopez,"25,166,773",194,"26,516,673"
2Pac,"25,007,807",189,"26,076,300"
Journey,"24,941,179",201,"26,816,449"
Dr. Dre,"24,913,918",194,"27,880,888"
Sebastian Yatra,"24,879,347",137,"28,235,688"
Zara Larsson,"24,862,829",162,"29,026,526"
Arcángel,"24,760,740",112,"29,918,189"
Shilpa Rao,"24,752,871",158,"28,394,666"
Atif Aslam,"24,701,977",228,"25,070,033"
Empire Of The Sun,"24,663,640",233,"24,663,640"
Luke Combs,"24,586,698",114,"34,881,535"
Ryan Castro,"24,582,703",171,"29,371,208"
TOTO,"24,456,579",147,"31,472,214"
Childish Gambino,"24,352,965",151,"30,712,179"
Becky G,"24,294,839",78,"36,514,621"
The Cranberries,"24,208,556",190,"27,044,375"
The Script,"24,055,898",204,"26,078,314"
Natanael Cano,"24,031,200",159,"28,962,500"
Miguel,"24,020,845",80,"34,144,669"
Shankar Mahadevan,"23,933,028",243,"23,933,028"
ROSALÍA,"23,926,930",47,"46,715,627"
Djo,"23,893,961",63,"44,239,817"
Neton Vega,"23,711,398",246,"23,711,398"
Tito Double P,"23,629,676",247,"23,629,676"
Tommy Richman,"23,576,124",47,"50,755,802"
Outkast,"23,553,557",203,"26,630,672"
Vishal Mishra,"23,535,839",227,"24,121,173"
Elvis Presley,"23,534,671",57,"52,355,319"
Fall Out Boy,"23,498,665",129,"30,377,374"
Swedish House Mafia,"23,495,043",187,"26,245,665"
Tears For Fears,"23,353,336",238,"24,307,146"
Calum Scott,"23,347,876",131,"28,676,261"
Backstreet Boys,"23,313,594",205,"26,680,229"
NLE Choppa,"23,275,811",181,"24,991,591"
Oasis,"23,224,490",130,"32,783,280"
Lil Tecca,"23,218,379",231,"24,535,136"
Aerosmith,"23,170,324",201,"23,669,217"
Bob Marley & The Wailers,"23,161,794",170,"28,137,637"
Summer Walker,"23,155,027",167,"28,542,051"
Tory Lanez,"23,059,644",180,"26,498,835"
John Legend,"22,986,927",107,"36,598,430"
Train,"22,891,020",171,"29,211,060"
Florence + The Machine,"22,824,046",108,"35,434,529"
Tainy,"22,785,124",91,"35,233,699"
Camilo,"22,763,247",249,"23,028,287"
Anirudh Ravichander,"22,730,156",114,"31,302,762"
Daft Punk,"22,705,809",225,"23,376,824"
Chase Atlantic,"22,692,271",271,"22,692,271"
Diljit Dosanjh,"22,662,880",247,"23,839,106"
TV Girl,"22,572,925",255,"23,816,777"
Phil Collins,"22,564,960",260,"23,998,160"
The Marías,"22,533,114",275,"22,533,114"
Bruce Springsteen,"22,532,758",107,"38,727,164"
Young Miko,"22,512,821",105,"33,633,855"
System Of A Down,"22,488,743",249,"24,010,200"
Disclosure,"22,479,010",253,"24,194,511"
Avril Lavigne,"22,478,880",214,"25,975,556"
Sunidhi Chauhan,"22,470,451",280,"22,470,451"
Mohit Chauhan,"22,372,211",267,"22,873,696"
PARTYNEXTDOOR,"22,347,968",268,"22,874,809"
Sonu Nigam,"22,309,894",281,"22,741,063"
Vance Joy,"22,248,440",117,"32,405,324"
Brent Faiyaz,"22,243,410",192,"25,902,758"
Shankar-Ehsaan-Loy,"22,145,156",287,"22,145,156"
Martin Garrix,"22,135,249",175,"23,962,214"
Luis R Conriquez,"22,038,186",288,"22,267,528"
Irshad Kamil,"22,019,834",290,"22,019,834"
Myles Smith,"21,983,805",170,"28,960,193"
Yo Yo Honey Singh,"21,950,162",288,"22,069,295"
Labrinth,"21,893,685",67,"36,829,106"
Bryan Adams,"21,878,426",231,"26,007,882"
Alka Yagnik,"21,838,239",287,"21,896,302"
Kapo,"21,826,978",282,"22,570,490"
G-Eazy,"21,807,280",223,"25,019,815"
Bastille,"21,797,376",183,"26,610,747"
Kid Cudi,"21,786,644",149,"29,550,228"
French Montana,"21,784,308",220,"25,515,389"
Mithoon,"21,644,646",279,"22,362,109"
Badshah,"21,608,710",273,"23,042,104"
The Notorious B.I.G.,"21,595,974",202,"25,886,768"
Rema,"21,586,029",60,"40,010,586"
JID,"21,548,066",100,"34,163,239"
Gabito Ballesteros,"21,454,352",237,"23,182,423"
Amy Winehouse,"21,435,915",279,"22,846,644"
Nickelback,"21,398,044",264,"23,366,875"
Bryson Tiller,"21,291,107",169,"28,259,185"
Plan B,"21,255,988",229,"24,657,446"
Ray Dalton,"21,246,059",311,"21,246,059"
Troye Sivan,"21,194,262",107,"32,443,596"
Felix Jaehn,"21,186,258",194,"24,535,929"
Dire Straits,"21,170,071",313,"21,284,160"
Ayra Starr,"21,145,763",134,"32,190,133"
Eagles,"21,099,173",104,"38,461,042"
Luis Fonsi,"21,083,788",214,"23,290,182"
Javed Ali,"21,081,240",317,"21,081,240"
Chris Stapleton,"21,041,004",197,"26,834,473"
Stephen Sanchez,"20,881,853",82,"34,322,910"
Beéle,"20,864,953",321,"20,864,953"
Pink Floyd,"20,859,328",258,"20,859,328"
Lorde,"20,855,036",222,"23,023,548"
Marvin Gaye,"20,820,566",243,"22,903,088"
CYRIL,"20,800,463",227,"25,127,423"
Rels B,"20,784,141",239,"24,237,621"
U2,"20,757,997",233,"23,044,157"
AFROJACK,"20,677,471",235,"25,016,746"
The Goo Goo Dolls,"20,641,282",211,"25,524,668"
DJ Khaled,"20,627,061",124,"29,389,696"
Tyga,"20,557,290",176,"25,118,039"
Maria Becerra,"20,555,105",159,"26,919,900"
Stromae,"20,548,124",249,"25,659,827"
Glass Animals,"20,524,144",132,"28,077,809"
The Lumineers,"20,492,329",165,"28,855,344"
El Alfa,"20,458,647",223,"23,914,135"
"Earth, Wind & Fire","20,438,712",198,"26,595,110"
Alphaville,"20,433,005",271,"22,723,241"
League of Legends,"20,416,500",336,"21,226,665"
Doechii,"20,414,137",334,"20,414,137"
Natasha Bedingfield,"20,275,251",165,"28,725,197"
Macklemore & Ryan Lewis,"20,273,511",190,"25,456,801"
Keane,"20,253,664",314,"20,470,634"
Timbaland,"20,239,783",256,"21,725,657"
Paramore,"20,160,222",251,"22,641,315"
Stevie Wonder,"20,110,727",114,"34,912,997"
Lil Nas X,"20,102,774",61,"37,597,256"
Mac DeMarco,"20,090,279",318,"20,710,634"
Grupo Firme,"20,072,942",257,"22,421,731"
Devi Sri Prasad,"19,989,412",350,"20,167,765"
ATL Jacob,"19,981,582",210,"25,072,953"
Tulsi Kumar,"19,958,595",348,"20,616,552"
Yandel,"19,932,740",126,"27,875,326"
Måneskin,"19,922,509",134,"26,818,201"
Wisin & Yandel,"19,897,923",173,"23,350,285"
Mc Gw,"19,872,163",238,"24,214,206"
Dido,"19,835,570",307,"21,688,560"
Offset,"19,832,426",183,"25,315,155"
Burna Boy,"19,776,546",244,"24,057,543"
Daryl Hall & John Oates,"19,775,468",133,"34,415,282"
Jaani,"19,748,808",319,"21,270,757"
Aventura,"19,697,101",327,"21,207,184"
Frank Sinatra,"19,675,043",33,"61,802,582"
TINI,"19,610,893",194,"26,064,686"
HUGEL,"19,604,713",365,"19,604,713"
Kings of Leon,"19,569,354",241,"24,493,486"
Dominic Fike,"19,551,943",198,"26,534,259"
Tiago PZK,"19,539,279",244,"22,623,731"
Himesh Reshammiya,"19,516,833",368,"19,516,833"
Lauv,"19,516,255",257,"21,465,775"
RaiNao,"19,504,154",371,"19,504,154"
Lil Durk,"19,444,065",92,"34,773,282"
Panic! At The Disco,"19,399,270",165,"27,310,489"
Céline Dion,"19,390,875",105,"38,976,847"
The Offspring,"19,388,688",309,"21,326,758"
Nelly,"19,362,056",316,"20,062,232"
R.E.M.,"19,341,456",332,"19,341,456"
Pop Smoke,"19,318,516",162,"25,280,553"
Elley Duhé,"19,259,226",150,"25,586,962"
Duki,"19,244,001",162,"26,492,455"
Sachet Tandon,"19,219,426",363,"19,316,400"
Anderson .Paak,"19,196,571",197,"23,668,985"
Mora,"19,164,763",151,"27,760,085"
Chinmayi,"19,095,807",357,"19,758,776"
Lil Peep,"19,057,123",337,"21,168,577"
Nicki Nicole,"19,036,270",173,"27,818,511"
blink-182,"18,965,229",268,"22,103,116"
Ruth B.,"18,926,812",224,"23,065,545"
Jubin Nautiyal,"18,918,782",241,"22,249,499"
Joji,"18,911,670",116,"29,284,554"
Kelly Clarkson,"18,898,152",29,"64,847,712"
yung kai,"18,888,865",392,"18,888,865"
George Michael,"18,850,061",139,"31,867,957"
Clairo,"18,841,585",337,"20,395,711"
Sachet-Parampara,"18,840,435",394,"18,840,435"
Sech,"18,821,165",174,"23,591,625"
Jasleen Royal,"18,817,494",298,"19,931,406"
5 Seconds of Summer,"18,813,091",205,"25,934,585"
Alessia Cara,"18,783,229",227,"25,204,710"
Skrillex,"18,773,245",175,"23,635,431"
Amaal Mallik,"18,757,872",394,"19,443,427"
Jonas Brothers,"18,719,786",119,"34,608,604"
MC Tuto,"18,698,267",400,"18,873,532"
Los Ángeles Azules,"18,666,986",374,"19,765,045"
Topic,"18,658,057",343,"19,460,472"
Christian Nodal,"18,642,711",220,"24,683,573"
Juanes,"18,641,747",332,"19,164,230"
Jason Mraz,"18,511,214",282,"21,336,382"
Cyndi Lauper,"18,507,488",214,"25,807,659"
Led Zeppelin,"18,504,929",294,"19,271,072"
Foo Fighters,"18,443,381",231,"23,378,244"
Neha Kakkar,"18,421,735",397,"18,678,926"
Vishal Dadlani,"18,299,816",307,"19,035,408"
Karan Aujla,"18,287,649",349,"19,861,429"
Jung Kook,"18,223,660",61,"40,791,781"
Baby Keem,"18,208,380",237,"23,094,570"
Gabry Ponte,"18,201,040",379,"19,299,756"
FISHER,"18,193,355",382,"19,632,720"
Kim Petras,"18,167,795",43,"46,551,289"
Annie Lennox,"18,153,092",301,"22,105,566"
Big Sean,"18,152,017",166,"29,499,746"
Disturbed,"18,118,325",286,"22,402,786"
De La Ghetto,"18,024,542",238,"21,703,557"
*NSYNC,"18,023,146",138,"32,534,951"
Dean Lewis,"17,969,317",266,"19,801,720"
Reik,"17,933,492",253,"22,018,792"
Michael Bublé,"17,908,461",13,"73,651,203"
Polo G,"17,887,681",263,"22,834,466"
Chezile,"17,820,880",429,"17,820,880"
Parampara Tandon,"17,783,293",430,"17,783,293"
Chino Pacas,"17,776,793",267,"21,601,531"
Gwen Stefani,"17,772,090",131,"35,714,924"
Tems,"17,752,113",351,"20,045,383"
PNAU,"17,745,421",220,"22,323,897"
Amit Trivedi,"17,736,874",384,"17,761,812"
Jessie J,"17,736,696",304,"23,379,270"
Kunaal Vermaa,"17,717,346",419,"18,269,527"
Carly Rae Jepsen,"17,698,029",317,"18,869,973"
The Cure,"17,661,946",354,"19,787,965"
Alesso,"17,656,380",259,"21,319,973"
a-ha,"17,656,373",180,"28,104,014"
Foster The People,"17,629,498",313,"22,182,297"
Julia Michaels,"17,578,888",309,"20,387,752"
Kausar Munir,"17,556,627",443,"17,556,627"
Anu Malik,"17,484,014",445,"17,484,014"
Lil Yachty,"17,389,624",315,"20,524,026"
Lenny Tavárez,"17,375,648",278,"22,544,589"
Julión Álvarez y su Norteño Banda,"17,302,413",397,"18,790,693"
Gotye,"17,300,341",367,"18,863,328"
Sevdaliza,"17,238,880",219,"25,431,578"
Adam Port,"17,231,806",241,"24,739,687"
Mark Ambor,"17,217,910",134,"35,210,214"
Asees Kaur,"17,199,237",420,"17,605,775"
Imogen Heap,"17,190,735",454,"17,190,735"
Rochak Kohli,"17,184,205",455,"17,184,205"
PinkPantheress,"17,151,891",60,"39,844,680"
Migos,"17,143,718",296,"20,299,307"
Boney M.,"17,123,892",268,"24,770,644"
Hotel Ugly,"17,073,611",256,"23,321,907"
Shaggy,"17,066,203",328,"18,459,819"
Rahat Fateh Ali Khan,"17,063,810",461,"17,063,810"
Jelly Roll,"17,042,711",273,"23,529,805"
Bill Withers,"17,015,511",219,"25,445,001"
Henrique & Juliano,"17,000,429",464,"18,043,242"
Coolio,"16,995,669",367,"19,724,313"
Alex Warren,"16,980,308",466,"16,980,308"
Zion & Lennox,"16,936,189",230,"22,169,487"
Rvssian,"16,905,393",180,"27,438,055"
Madhubanti Bagchi,"16,901,476",469,"16,901,476"
Bob Sinclar,"16,890,994",436,"17,742,161"
Luis Miguel,"16,881,059",309,"21,870,866"
Roddy Ricch,"16,871,905",205,"23,016,594"
Evanescence,"16,861,362",407,"18,667,852"
Lin-Manuel Miranda,"16,844,694",474,"16,844,694"
Maná,"16,814,475",334,"19,468,590"
Wham!,"16,781,705",13,"81,641,878"
Noah Cyrus,"16,779,953",339,"20,615,213"
Jess Glynne,"16,767,166",421,"19,358,245"
Alec Benjamin,"16,748,026",251,"23,650,761"
Emilia,"16,732,820",337,"19,179,139"
My Chemical Romance,"16,730,053",389,"19,625,163"
MC Ryan SP,"16,715,550",349,"19,355,147"
Neeti Mohan,"16,713,686",454,"17,266,809"
JVKE,"16,685,502",110,"31,684,143"
Darshan Raval,"16,684,152",286,"20,349,184"
Dolly Parton,"16,670,292",245,"26,134,547"
Nile Rodgers,"16,595,612",209,"25,999,504"
Bon Iver,"16,534,950",287,"21,981,333"
Jay Wheeler,"16,527,403",300,"19,956,526"
Laufey,"16,477,842",89,"43,026,697"
The Smiths,"16,452,083",432,"17,960,171"
Divya Kumar,"16,359,803",405,"18,610,694"
BLACKPINK,"16,356,823",173,"25,116,235"
Paulo Londra,"16,307,870",401,"16,734,709"
Prince Royce,"16,278,962",339,"18,754,885"
Jonas Blue,"16,275,741",226,"22,821,691"
George Ezra,"16,255,631",291,"20,125,754"
benny blanco,"16,241,640",262,"23,177,471"
MEDUZA,"16,189,364",222,"22,148,251"
Kimbra,"16,176,760",434,"17,862,679"
Ana Castela,"16,175,085",324,"20,415,436"
David Kushner,"16,167,961",143,"27,928,294"
Julieta Venegas,"16,133,408",376,"19,459,228"
Sade,"16,120,776",502,"16,281,103"
David Bowie,"16,097,173",317,"20,160,489"
De La Rose,"16,082,609",385,"19,272,035"
LISA,"16,026,809",242,"23,865,652"
Sean Kingston,"16,003,193",381,"18,574,495"
MGMT,"15,971,417",416,"18,279,387"
Ice Spice,"15,963,655",49,"47,203,544"
Manoj Muntashir,"15,931,171",511,"15,931,171"
B Praak,"15,928,031",366,"19,588,169"
Kacey Musgraves,"15,905,700",182,"27,365,334"
Dimitri Vegas & Like Mike,"15,853,343",357,"19,897,730"
Justin Quiles,"15,836,671",223,"21,581,896"
Latto,"15,835,560",74,"38,062,951"
T-Pain,"15,834,477",372,"18,873,052"
Trueno,"15,823,517",178,"28,176,321"
Naughty Boy,"15,808,867",518,"15,808,867"
Cage The Elephant,"15,790,178",401,"18,343,382"
BigXthaPlug,"15,762,632",489,"17,278,854"
Limp Bizkit,"15,744,093",468,"16,254,220"
Eladio Carrion,"15,639,086",156,"26,738,598"
Kehlani,"15,619,096",413,"17,718,711"
Quavo,"15,598,189",188,"27,599,002"
Daya,"15,547,965",340,"20,492,260"
NATTI NATASHA,"15,520,242",331,"17,498,549"
Kumaar,"15,514,314",316,"17,005,446"
Carlos Vives,"15,481,290",375,"18,576,958"
Lynyrd Skynyrd,"15,476,850",389,"17,985,151"
Armaan Malik,"15,469,847",381,"16,761,065"
Stryv,"15,457,774",266,"23,709,586"
Lata Mangeshkar,"15,441,443",531,"15,441,443"
Sajid-Wajid,"15,441,405",534,"15,441,405"
Eurythmics,"15,435,376",364,"19,541,941"
GIMS,"15,434,159",528,"15,500,721"
Armin van Buuren,"15,423,052",440,"16,690,011"
R3HAB,"15,416,130",210,"23,584,295"
Mike Posner,"15,409,889",400,"17,945,456"
Zedd,"15,407,736",317,"17,028,438"
Steve Aoki,"15,396,156",216,"21,606,912"
Surf Curse,"15,394,942",319,"20,913,105"
Robbie Williams,"15,389,526",392,"18,905,659"
Kane Brown,"15,381,707",418,"18,066,809"
KISS,"15,376,650",475,"15,376,650"
Ice Cube,"15,374,238",325,"18,290,286"
Bob Dylan,"15,367,978",492,"16,331,047"
Gesaffelstein,"15,363,932",273,"18,995,025"
Grupo Menos É Mais,"15,348,233",537,"15,768,800"
YoungBoy Never Broke Again,"15,332,067",288,"19,051,130"
The 1975,"15,312,619",341,"16,303,938"
Muse,"15,298,497",480,"16,445,948"
Salim–Sulaiman,"15,264,072",553,"15,264,072"
Bryant Myers,"15,234,935",341,"18,758,660"
Dimitri Vegas,"15,223,073",446,"17,182,026"
Morat,"15,207,801",344,"16,643,863"
Alejandro Fernández,"15,169,033",404,"16,078,925"
Manan Bhardwaj,"15,153,091",247,"24,056,763"
Keinemusik,"15,134,597",233,"25,010,459"
Dasha,"15,124,992",221,"27,379,872"
Chayanne,"15,116,167",474,"17,003,813"
Tove Lo,"15,096,261",321,"16,726,850"
girl in red,"15,028,961",262,"23,016,471"
Ñengo Flow,"15,021,674",207,"22,145,574"
Hariharan,"15,003,917",538,"15,003,917"
Eslabon Armado,"14,998,619",64,"40,132,836"
Jeremih,"14,987,788",527,"15,538,316"
NATTAN,"14,982,639",560,"15,450,750"
Fred again..,"14,974,576",397,"18,388,836"
B.o.B,"14,952,039",312,"21,112,481"
Little Mix,"14,925,840",287,"19,963,380"
